Store Name,Store Address,Phone Number,Zipcode
Smoker's Heaven Smoke & Vape Shop Jersey City,"58 Sip Ave, Jersey City, NJ 07306, USA",(201) 839-5721,07306
Smoker's Heaven Smoke Shop & Vape Shop Elizabeth,"7 Broad St, Elizabeth, NJ 07201, USA",(908) 469-2600,07201
NYC Smoke Shop & Vape Shop,"12 John St, New York, NY 10038, USA",(646) 964-5469,10038
Smoker's Heaven Smoke & Vape Shop Bayonne,"720 Broadway, Bayonne, NJ 07002, USA",(201) 243-1000,07002
Holy Smokes Express - Smoke / Vape Shop - C.B.D - Hookah,"845 Summer St, Elizabeth, NJ 07202, USA",(908) 469-0600,07202
Vape Shop Smoke Zone,"1059 2nd Ave, New York, NY 10022, USA",(212) 935-2697,10022
Flatbush Smoke n Vape Shop,"1310 Flatbush Ave, Brooklyn, NY 11210, USA",(929) 603-1208,11210
I Smoke & Vape,"825 Broadway, New York, NY 10003, USA",(917) 224-6655,10003
Smoke Scene N vape,"786 9th Ave, New York, NY 10019, USA",(212) 265-1426,10019
Atlantic Ave Smoke Shop,"176 Atlantic Ave, Brooklyn, NY 11201, USA",(718) 858-1982,11201
Brooklyn Vape,"53 5th Ave, Brooklyn, NY 11217, USA",(917) 336-7363,11217
Smoke Zone N Vape,"901 1st Ave., New York, NY 10022, USA",(212) 888-1425,10022
Vape,"74th And 2nd, 1411 2nd Ave 1st floor, New York, NY 10021, USA",(646) 918-6306,10021
Jersey City Vape & Smoke Shop,"355 2nd St, Jersey City, NJ 07302, USA",(201) 984-0605,07302
7th Ave Smoke Shop,"200 7th Ave, New York, NY 10011, USA",(646) 652-8175,10011
King brooklyn vape,"6713 18th Ave, Brooklyn, NY 11204, USA",(347) 462-2392,11204
Cloud City Vape Shop,"1281 Arthur Kill Rd, Staten Island, NY 10312, USA",(718) 227-5811,10312
Smoke needs smoke and vape Woodbridge,"774 US-1, Iselin, NJ 08830, USA",(732) 401-2194,08830
Ultimate Vapor Source,"43 W 29th St, New York, NY 10001, USA",(212) 532-1242,10001
Awesome Smoke,"2508 Queens Plaza S, Long Island City, NY 11101, USA",(347) 396-5559,11101
3 ave vape smoke shop,"162 E 23rd St, New York, NY 10010, USA",(917) 265-8264,10010
Nirvana VAPE CIGAR & Convenience Smoke Shop,"3192 21st St, Long Island City, NY 11106, USA",(347) 242-2996,11106
I Vape,"36 St Marks Pl, New York, NY 10003, USA",(212) 260-1903,10003
Vape & Smoke shop,"3295 Amboy Rd, Staten Island, NY 10306, USA",(718) 841-9510,10306
ny smoke n vape,"1238 Lexington Ave, New York, NY 10028, USA",(212) 858-9346,10028
PTI Vape & Smoke Shop,"563 Broadway, Bayonne, NJ 07002, USA",(201) 884-4861,07002
Vape N Smoke,"150 2nd Ave, New York, NY 10003, USA",(212) 353-3150,10003
"Elite Vape and Smoke Shop - Delta 8 Thc,Kratom,CBD & Hookah Store","181 Elmora Ave, Elizabeth, NJ 07202, USA",(908) 352-3838,07202
Dr-Smoke Tobacco Shop+Vapes Shop,"29-23 Astoria Blvd, Astoria, NY 11102, USA",(929) 609-4195,11102
One love vape & convenience,"66-10 Grand Ave, Maspeth, NY 11378, USA",(347) 832-0350,11378
Midtown Smoke Shop & Vape,"454 9th Ave, New York, NY 10018, USA",(646) 688-5779,10018
Smoke N Vape,"644 9th Ave, New York, NY 10036, USA",(212) 390-1654,10036
Cloud Depot Convenience Smoke Shop -Jersey City-,"591 Summit Ave, Jersey City, NJ 07306, USA",(201) 559-5699,07306
PUR VAPE AND SMOKE SHOP,"346 9th Ave, New York, NY 10001, USA",(646) 760-9307,10001
Bj smoke & vape shop,"670 Lexington Ave, New York, NY 10022, USA",(212) 355-4649,10022
The Cave Smoke Shop & vape,"500 W 47th St, New York, NY 10036, USA",N/A,10036
Lit Smoke Shop,"14 Hilliard Ave, Edgewater, NJ 07020, USA",(201) 282-4193,07020
Amsterdam Tobacco House,"273 Amsterdam Ave, New York, NY 10023, USA",(212) 799-2925,10023
Sunflower Glass Company Smoke and Vape Shop,"377 Metropolitan Ave, Brooklyn, NY 11211, USA",(718) 451-8032,11211
E-Smoke & Convenience,"2 W 33rd St, New York, NY 10001, USA",(212) 279-8434,10001
SMOKERS POINT TOBACCO &VAPES SMOKESHOP,"1584 86th St, Brooklyn, NY 11228, USA",(347) 492-5935,11228
Tobacco N Vape,"33-18 31st Ave, Astoria, NY 11106, USA",(718) 777-1524,11106
General Vape CBD,"2001 Victory Blvd, Staten Island, NY 10314, USA",(718) 442-8273,10314
Good Guy Vapes & Smoke,"1180 St Georges Ave, Avenel, NJ 07001, USA",(732) 527-0669,07001
Smoke Studio Vape & Convenience,"396 Summit Ave, Jersey City, NJ 07306, USA",(551) 263-9595,07306
Zee Smoke & Convenience inc,"246 E 14th St, New York, NY 10003, USA",(646) 895-9312,10003
H&I Smoke N Vape,"282 Newark Ave, Jersey City, NJ 07302, USA",(201) 897-7665,07302
E Smoke & Convenience,"113 1st Ave., New York, NY 10003, USA",(917) 261-6044,10003
General Vape CBD,"960 Bloomingdale Rd, Staten Island, NY 10309, USA",(718) 227-8273,10309
"Let's Smoke Shop (Hookah, Shisha, Vape, Cigar, CBD & Glass)","95 Bloomfield Ave, Newark, NJ 07104, USA",(973) 732-3282,07104
3ave convenience smoke&beer,"349 3rd Ave, New York, NY 10010, USA",(212) 889-0050,10010
Jubilee Tobacco & Vape Inc,"600 Pavonia Ave, Jersey City, NJ 07306, USA",(201) 360-0276,07306
General Vape CBD HQ,"95 Page Ave, Staten Island, NY 10309, USA",(718) 967-2447,10309
Smoking N Vaping,"165 9th Ave, New York, NY 10011, USA",(212) 430-6828,10011
Royal Smoke N Vape,"247 W 36th St., New York, NY 10018, USA",(347) 814-5153,10018
Best new york smokeshop,"46 Avenue B, New York, NY 10009, USA",N/A,10009
2 The Moon convenience & vape,"2236 Victory Blvd, Staten Island, NY 10314, USA",(718) 524-5222,10314
Times square exotic,"116 W 38th St, New York, NY 10018, USA",(646) 329-6856,10018
Vape Beast,"143 US-1, Metuchen, NJ 08840, USA",(732) 515-2109,08840
Smoke N E-Vape,"1380 1st Ave., New York, NY 10021, USA",(212) 837-1206,10021
Hot Spot Hookah,"169 Smith St, Perth Amboy, NJ 08861, USA",(732) 638-5027,08861
Best Buzz Hookah,"3812 Astoria Blvd S, Astoria, NY 11103, USA",(718) 777-0724,11103
Sip N Smoke Shop Jersey City,"196 Sip Ave, Jersey City, NJ 07306, USA",(201) 994-4100,07306
Hoboken Smoke Shop,"614 Washington St, Hoboken, NJ 07030, USA",(201) 683-7978,07030
Eastside Story,"265 E 10th St, New York, NY 10009, USA",(646) 386-7897,10009
Bai’dar Hookah Cafe & Restaurant,"6810 3rd Ave, Brooklyn, NY 11220, USA",(347) 909-7088,11220
Sahara East,"184 1st Ave., New York, NY 10009, USA",(212) 353-9000,10009
Cozy Cafe,"43 E 1st St, New York, NY 10003, USA",(917) 406-1945,10003
YourHouseCafe,"6916 4th Ave, Brooklyn, NY 11209, USA",(718) 833-3900,11209
Gardenia Terrace,"826 10th Ave, New York, NY 10019, USA",(212) 334-0489,10019
Dandash Hookah Lounge,"989 Amboy Ave, Edison, NJ 08837, USA",(732) 662-5810,08837
ALADDIN HOOKAH LOUNGE,"25-57 Steinway St, Long Island City, NY 11103, USA",(718) 685-2816,11103
The Attic Hookah Cafe,"6754 4th Ave, Brooklyn, NY 11220, USA",(718) 600-1010,11220
Layaly Cafe,"4409 Broadway, Astoria, NY 11103, USA",(718) 606-8778,11103
Hookah & Chill Smoke Shop,"61 Central Ave, East Orange, NJ 07018, USA",(862) 837-1668,07018
Mocha Hookah,"183 Atlantic Ave, Brooklyn, NY 11201, USA",(718) 624-6764,11201
X-Hale Cafe/Lounge,"489 Court St, Brooklyn, NY 11231, USA",(929) 552-7221,11231
Horus Too,"416 W 46th St, New York, NY 10036, USA",(212) 956-9661,10036
Prende La Hookah LLC,"277 Smith St, Perth Amboy, NJ 08861, USA",(732) 826-2500,08861
Hookah-Cafe,"2896 W 12th St, Brooklyn, NY 11224, USA",(646) 623-4684,11224
Bay Ridge Cafe,"6802 4th Ave, Brooklyn, NY 11220, USA",(718) 333-5733,11220
Rose Hookah Lounge,"23-52 Steinway St, Astoria, NY 11105, USA",(646) 287-2713,11105
Dream Cafe hookah lounge,"25-42 Steinway St, Astoria, NY 11103, USA",(347) 475-9900,11103
Johnny's Hookah,"500 Fulton St, Elizabeth, NJ 07206, USA",(908) 576-8083,07206
Holy Smokes NJ Smoke Shop - Hookahs and More!,"168 Elmora Ave, Elizabeth, NJ 07202, USA",(908) 943-0569,07202
Eastern Nights,"2537 Steinway St, Long Island City, NY 11103, USA",(929) 208-0042,11103
Taj Mahal Lounge,"25-27 Steinway St, Astoria, NY 11103, USA",(718) 728-1950,11103
Taboo Lounge,"406 8th Ave, New York, NY 10001, USA",(646) 524-7299,10001
KLOUD,"433 Park Ave S, New York, NY 10016, USA",N/A,10016
Tango Hookah Shop,"1910 Bergenline Ave, Union City, NJ 07087, USA",(201) 402-9166,07087
Mo Hookah Tobacoo Shop,"3473 Broadway, New York, NY 10031, USA",N/A,10031
E Squared Cafe & Hookah Lounge,"240 Page Ave, Staten Island, NY 10307, USA",(718) 227-0327,10307
Sahara New York,"25-62 Steinway St, Astoria, NY 11103, USA",(718) 269-6356,11103
Horus Cafe on A,"293 E 10th St, New York, NY 10009, USA",(212) 228-4774,10009
Alembi Hookah Lounge,"23-63 Steinway St, Astoria, NY 11105, USA",(718) 777-6544,11105
Babylon Hookah Lounge,"208 E 34th St, New York, NY 10016, USA",(212) 933-0912,10016
Mazaya Hookah & Vapes,"965 E 167th St, Bronx, NY 10459, USA",(718) 991-4617,10459
Layali Beirut,"25-60 Steinway St, Astoria, NY 11103, USA",(718) 721-1400,11103
NYC Smokes & More Inc,"104 MacDougal St, New York, NY 10012, USA",(646) 370-4699,10012
Hookah Rental and Catering near me (The Blue Mistny),"2601 E 14th St, Brooklyn, NY 11235, USA",(347) 860-2750,11235
HOOKAH STORE,"218 Elizabeth Ave, Newark, NJ 07108, USA",N/A,07108
Eros Cafe,"168 Union Ave, East Rutherford, NJ 07073, USA",(201) 729-0005,07073
Cafe Nunez,"240 W 35th St, New York, NY 10001, USA",(212) 564-7444,10001
Emmons Palace,"2265 Emmons Ave, Brooklyn, NY 11235, USA",(718) 616-1272,11235
MK-017 Hookah Rentals,"113 E 34th St, New York, NY 10016, USA",N/A,10016
My House Burgers and Shakes,"1650 Sheepshead Bay Rd, Brooklyn, NY 11235, USA",(718) 934-0400,11235
YOUR PICK HOOKAH SUPPLY,"708 E Jersey St, Elizabeth, NJ 07201, USA",(609) 378-0791,07201
Lulu Mediterranean Grill - Edgewater,"360 Old River Rd, Edgewater, NJ 07020, USA",(201) 347-3571,07020
SET Lounge Bar & Billiards,"1828 McDonald Ave, Brooklyn, NY 11223, USA",(718) 758-5999,11223
El Fogon Hookah Shop Llc,"65 Broadway, Newark, NJ 07104, USA",N/A,07104
VIVO Tapas KITCHEN • LOUNGE,"167 Ferry St, Newark, NJ 07105, USA",(973) 465-4800,07105
PRIME HOOKAH,"800 3rd Ave Suite A #1330, New York, NY 10022, USA",N/A,10022
NYC Huqqah Haus,"6906 3rd Ave, Brooklyn, NY 11209, USA",(718) 333-5570,11209
Hookahset.com,"460 Broadway, Bayonne, NJ 07002, USA",(201) 535-5055,07002
Supremacy Grill & Lounge,"1624 Coney Island Ave, Brooklyn, NY 11230, USA",(718) 676-6065,11230
Andalucia Grill & Bar Lounge,"1336 Bushwick Ave, Brooklyn, NY 11207, USA",(347) 414-5372,11207
Eden Hookah,"443 Bay Ridge Ave, Brooklyn, NY 11220, USA",N/A,11220
The Spot Astoria,"Corner of 43rd Street and, 42-21 Broadway, Astoria, NY 11103, USA",(718) 204-6811,11103
BROOKLYN SMOKE & VAPE,"1067 Avenue N, Brooklyn, NY 11230, USA",(917) 933-9266,11230
New York Smoke Shop,"531 9th Ave, New York, NY 10018, USA",(212) 465-0660,10018
Smoke Scene,"845 7th Ave, New York, NY 10019, USA",(212) 265-1425,10019
International Smoke Shop,"809 8th Ave, New York, NY 10019, USA",(646) 557-0501,10019
9th Ave Tobacco & Smoke Shop,"334 9th Ave, New York, NY 10001, USA",(212) 244-2250,10001
6th Avenue Smoke Shop,"317 6th Ave, New York, NY 10014, USA",(646) 996-9966,10014
E Smoke & Convenience,"52 Canal St, New York, NY 10002, USA",(917) 261-5054,10002
MySpot Vape & Smoke Shop,"10 Meadowlands Pkwy Suite G, Secaucus, NJ 07094, USA",(201) 292-1488,07094
Classic Smoke Shop,"206 Thompson St, New York, NY 10012, USA",(212) 228-1514,10012
Topia News Stand & Smoke Shop,"22 Nevins St, Brooklyn, NY 11217, USA",(347) 916-0252,11217
Montclair Smoke Shop,"127 Valley Rd, Montclair, NJ 07042, USA",(973) 862-9684,07042
UNITED CONVENIENCE,"91 E 116th St, New York, NY 10029, USA",(732) 630-2946,10029
Finest Deli & Smoke Shop,"719 Fulton St, Brooklyn, NY 11217, USA",(718) 243-2905,11217
cloud 69 Cigar & Smoke Shop,"1317 2nd Ave, New York, NY 10021, USA",(917) 261-4010,10021
Bushwick Smoke Shop,"388 Troutman St, Brooklyn, NY 11237, USA",(718) 975-0325,11237
Grove News Corner Inc,"119 Newark Ave, Jersey City, NJ 07302, USA",(201) 432-0423,07302
Smoke Gift & Convenience 2,"251 5th Ave LEVEL, New York, NY 10016, USA",(646) 609-4032,10016
37 Smoke Shop,"357 W 37th St, New York, NY 10018, USA",(917) 459-3831,10018
Dreamer Tobacco Shop,"300 Wyckoff Ave, Brooklyn, NY 11237, USA",(718) 483-8740,11237
East Side Cigars & Smoke Shop,"279 E Houston St, New York, NY 10002, USA",(212) 228-2882,10002
PARK SMOKE 2,"807 Abbott Blvd, Fort Lee, NJ 07024, USA",(201) 482-0044,07024
"Canal Smoke , Gift & Convienence","342 Canal St, New York, NY 10013, USA",(646) 864-0174,10013
200 tobacco Smoke city,"200 W 40th St, New York, NY 10018, USA",(646) 649-3177,10018
NYC Tobacco Leaf,"515 Sutter Ave, Brooklyn, NY 11207, USA",(347) 992-4057,11207
97 Tobacco Shop,"2578 Broadway, New York, NY 10025, USA",(646) 649-2027,10025
A2z smoke shop,"711 8th Ave, New York, NY 10036, USA",(646) 981-7532,10036
Zara Smoke Shop,"580 8th Ave, New York, NY 10018, USA",(212) 221-8090,10018
Italy Smoke Shop & Convenience,"139 Mulberry St, New York, NY 10013, USA",(929) 451-9117,10013
Db Smoke Shop,"65 5th Ave, Brooklyn, NY 11217, USA",(718) 857-9559,11217
Smoke shop,"22 W 34th St., New York, NY 10001, USA",(929) 435-6047,10001
Discount Smoke Shop,"84 Nassau St, New York, NY 10038, USA",N/A,10038
Cigarville Inc.,"51 W 14th St, New York, NY 10011, USA",(212) 488-8100,10011
Manhattan Tobacco,"881 9th Ave, New York, NY 10019, USA",(646) 478-7452,10019
Smoke Gift & Convenience,"118 Mulberry St, New York, NY 10013, USA",(917) 261-6355,10013
Bedford Convenience,"154 Bedford Ave, Brooklyn, NY 11249, USA",(718) 218-7980,11249
4th ave Tobacco Road corp,"248 4th Ave, Brooklyn, NY 11215, USA",(347) 916-1336,11215
Vape Blvd Smoke Shop N Vape,"34-43 Vernon Blvd, Astoria, NY 11106, USA",(917) 832-6143,11106
"Flatbush, Convenience","714 Flatbush Ave, Brooklyn, NY 11225, USA",(347) 384-1004,11225
Smoke Shop,"248 W 35th St #1402, New York, NY 10001, USA",N/A,10001
Tobacco Grab and Go,"3087 Fulton St, Brooklyn, NY 11208, USA",(518) 692-3335,11208
E Smoke & Convenience,"79-20 Roosevelt Ave, Jackson Heights, NY 11372, USA",(347) 848-0811,11372
Grand Smoke Shop Brooklyn,"176 Grand St, Brooklyn, NY 11211, USA",(718) 388-5610,11211
Smoke Master Tobacco,"1136 Liberty Ave, Hillside, NJ 07205, USA",(856) 535-9622,07205
AR convenience store inc,"9257 4th Ave, Brooklyn, NY 11209, USA",(718) 759-1701,11209
NYC Smokes Inc.,"752 9th Ave, New York, NY 10019, USA",(917) 624-6794,10019
Tobacco gift & Convenience,"979 1st Ave., New York, NY 10022, USA",(212) 355-6133,10022
Sunrise Optimo / Court Street Corner Shop,"304 Court St, Brooklyn, NY 11231, USA",(718) 596-1222,11231
